id;datacompra;id_pedido;quantidade;status
1;2021-07-19T14:23:45;36958;20353;ENTREGUE
2;2021-07-19T04:25:35;96585;42765;ROTA_ENTREGA
3;2021-07-19T03:46:43;41244;84490;AGUARDANDO_CONFIRMACAO
4;2021-07-19T01:00:51;71133;56787;ENTREGUE
5;2021-07-19T20:19:12;43230;85325;PAGO
6;2021-07-19T23:33:53;28443;29862;AGUARDANDO_CONFIRMACAO
7;2021-07-19T05:38:20;818;68504;ENTREGUE
8;2021-07-19T01:21:57;47;32409;AGUARDANDO_CONFIRMACAO
9;2021-07-19T17:17:45;13327;19222;ROTA_ENTREGA
10;2021-07-19T18:47:05;91188;8009;ENTREGUE
