id;nome;descricao;quantidade;preco
1;Specialist;São Strategist Consultant;17971;55389
2;Macio;SSL;69343;72484
3;Fresco;drive Buckinghamshire Aço;41128;68344
4;1080p withdrawal Lead;deposit XML;55493;69904
5;Technician Goiás Calças;Inteligente next-generation toolset;22264;14526
6;Sabonete;applications;1006;23204
7;up Rodovia Incrível;National connecting Technician;71537;34352
8;national;navigating Carro;30559;43928
9;benchmark indexing integrated;system;50459;21518
10;virtual;Direct knowledge Global;27515;29224
